             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10497513   general LysWat_a obeckste CG       2:05      1 c099
          10498898   general _interac mwatowic CG       9:46      1 c025
          10502752   general    VFP12 mkasbaou PD       0:00      8 (Resources)
          10503127   general ood-jupy fbardoli PD       0:00      1 (PartitionTimeLimit)
          10484651   general ood-jupy dpandya5 PD       0:00      1 (PartitionTimeLimit)
          10363103   general St_2_jet vpaturu2 PD       0:00     21 (Priority)
10414036_[1987-275   general launch_P jzhan613 PD       0:00      1 (QOSMaxCpuPerUserLimit)
10414187_[19-1500]   general launch_P jzhan613 PD       0:00      1 (QOSMaxCpuPerUserLimit)
10414208_[15-1500]   general launch_P jzhan613 PD       0:00      1 (QOSMaxCpuPerUserLimit)
          10506570   general myjob_sm   awale1 PD       0:00      1 (PartitionTimeLimit)
          10506770   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506771   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506772   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506773   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506774   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506775   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506776   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506777   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506778   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506779   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506780   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506781   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506782   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506783   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506784   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506785   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506786   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506787   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506794   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506795   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506796   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506797   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506798   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506799   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506800   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506801   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506802   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506803   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506804   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506805   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506806   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506807   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506808   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506809   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506810   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506811   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506812   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10506813   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507492   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507493   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507494   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507495   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507496   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507497   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507498   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507499   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507500   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507501   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507502   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507503   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507504   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507505   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507506   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507507   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507508   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507509   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507510   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507511   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507514   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507515   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507516   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507517   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507518   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507520   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507521   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507522   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507523   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10507524   general   run.sh   ctong9 PD       0:00      1 (Priority)
          10509312   general   run.sh   ctong9 PD       0:00      1 (Priority)
 10457377_[15-100]   general   sbatch snambira PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:c[005-112],cg[001-005,007-011],g[001-050,230-239])
  10457379_[1-100]   general   sbatch snambira PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:c[005-112],cg[001-005,007-011],g[001-050,230-239])
  10457381_[1-100]   general   sbatch snambira PD       0:00      1 (Priority)
  10457382_[1-100]   general   sbatch snambira PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:c[005-112],cg[001-005,007-011],g[001-050,230-239])
10444728_[229-2101   general SAC_good djriver7 PD       0:00      1 (Priority)
10398472_[105-198]   general  SAC_bad djriver7 PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:c[005-112],cg[001-005,007-011],g[001-050,230-239])
          10472304   general TMC_Cr_P onwokonk PD       0:00      1 (Priority)
          10506641   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506642   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506651   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506650   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506649   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506648   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506647   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506646   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506645   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10506644   general RNA_quan   wwei39 PD       0:00      1 (Priority)
          10490835   general EDTA_HAP   lyin25 PD       0:00      1 (Priority)
          10494010   general wrf_run4 rpokhre1 PD       0:00      1 (Priority)
          10502873   general amas_con  mprebus PD       0:00      1 (Priority)
          10509334   general      sfs   wwei39 PD       0:00      1 (Priority)
          10488736   general universa  zzhou82 PD       0:00      1 (Priority)
          10496020   general periodic mzrickar PD       0:00      1 (Priority)
          10496574   general JHU_data mzrickar PD       0:00      1 (Priority)
          10490961   general ood-virt dongaoma PD       0:00      1 (Priority)
          10499122   general ood-virt   fejaz1 PD       0:00      1 (Priority)
          10500190   general GeSn_sta  clmilne PD       0:00      1 (Priority)
          10506630   general LysWat_a obeckste PD       0:00      2 (Priority)
          10506631   general LysWat_a obeckste PD       0:00      1 (Priority)
 10506584_[56-475]   general      TLA lhcisner PD       0:00      1 (Priority)
          10503080   general nucmerZi   lyin25 PD       0:00      1 (Priority)
          10314440   general  ntir024 mherrma1 PD       0:00      2 (Priority)
          10498464   general   trial3   dsaha3 PD       0:00      1 (Priority)
          10498541   general  trial-4   dsaha3 PD       0:00      1 (Priority)
          10498056   general ood-jupy   speyer PD       0:00      1 (Priority)
          10506463   general      WRF amartill PD       0:00      1 (Priority)
          10498836   general  trial-5   dsaha3 PD       0:00      1 (Priority)
          10498839   general  trial-6   dsaha3 PD       0:00      1 (Priority)
          10498916   general 5-charge   bdneff PD       0:00      1 (Priority)
          10498915   general 4-charge   bdneff PD       0:00      1 (Priority)
          10498914   general 3-charge   bdneff PD       0:00      1 (Priority)
          10498913   general 2-charge   bdneff PD       0:00      1 (Priority)
          10498931   general 20-charg   bdneff PD       0:00      1 (Priority)
          10498930   general 19-charg   bdneff PD       0:00      1 (Priority)
          10498929   general 18-charg   bdneff PD       0:00      1 (Priority)
          10498928   general 17-charg   bdneff PD       0:00      1 (Priority)
          10498927   general 16-charg   bdneff PD       0:00      1 (Priority)
          10498926   general 15-charg   bdneff PD       0:00      1 (Priority)
          10498925   general 14-charg   bdneff PD       0:00      1 (Priority)
          10498924   general 13-charg   bdneff PD       0:00      1 (Priority)
          10498923   general 12-charg   bdneff PD       0:00      1 (Priority)
          10498922   general 11-charg   bdneff PD       0:00      1 (Priority)
          10498921   general 10-charg   bdneff PD       0:00      1 (Priority)
          10498920   general 9-charge   bdneff PD       0:00      1 (Priority)
          10498919   general 8-charge   bdneff PD       0:00      1 (Priority)
          10498918   general 7-charge   bdneff PD       0:00      1 (Priority)
          10498917   general 6-charge   bdneff PD       0:00      1 (Priority)
          10498936   general 3-charge   bdneff PD       0:00      1 (Priority)
          10498935   general 2-charge   bdneff PD       0:00      1 (Priority)
          10498934   general 1-charge   bdneff PD       0:00      1 (Priority)
          10498933   general 0-charge   bdneff PD       0:00      1 (Priority)
          10498953   general 20-charg   bdneff PD       0:00      1 (Priority)
          10498952   general 19-charg   bdneff PD       0:00      1 (Priority)
          10498951   general 18-charg   bdneff PD       0:00      1 (Priority)
          10498950   general 17-charg   bdneff PD       0:00      1 (Priority)
          10498949   general 16-charg   bdneff PD       0:00      1 (Priority)
          10498948   general 15-charg   bdneff PD       0:00      1 (Priority)
          10498947   general 14-charg   bdneff PD       0:00      1 (Priority)
          10498946   general 13-charg   bdneff PD       0:00      1 (Priority)
